岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
财务实习生,100-150元/天,3个月,"1、 了解财务的相关工作内容，协调处理好银行、税务等各部门的工作关系；
2、 负责日常现金及票据的收付、保管及费用报销；核对银行、现金余额； 
3、 按要求完成相关发票的开具、验证、购买等工作；
4、 划转、核算内部往来款项，到款确认，及时登记现金、银行日记帐； 
5、 编制相关凭证及装订工作；
6、 固定资产、办公用品、低值易耗品的帐务管理、核对与盘点； 
7、 协助会计准备每日、月单据及报表，完成月末结账报税等工作； 
8、 协助部门管理相关财务资料档案，配合部门完成日常工作。",大专,2,2025-07-01 07:19,润普网络,101~300人,广东,互联网|游戏|软件
前台行政实习生,100-150元/天,3个月,"1.负责公司前台接待访客，并及时准确通知被访人员；
2.及时接听转接电话，记录留言,并及时转达；
3.快递的收发并做好登记管理，按月统计费用成本；
4.办公用品的采购与管理；
5.制作员工名片及各部门印刷品；
6.负责差旅车票、机票、酒店的预定；
7.办公环境及硬件设备的排查和维护；
8.协助办理员工入离职手续；
9.企业文化活动协助；
10.完成主管交待的其他工作。",大专,1,2025-07-02 07:19,润普网络,101~300人,广东,互联网|游戏|软件
线上销售,8-12K/月,长期,"1、负责维护各个线上渠道的房源，保证信息准确、真实；
2、负责客户的接待、咨询工作，为客户提供专业的房地产置业咨询服务；
3、了解客户需求，提供合适房源；
4、负责商务谈判、合同签署以及房屋过户手续办理等服务工作；
5、负责公司房源的开发、维护与积累，并与业主建立良好的业务协作关系。",大专,10,2025-07-02 11:19,链家地产,3001人及以上,北京,建筑|地产|家居
培训课务助理【实习生2026年毕业】,100-150元/天,6个月,"1.协助完成培训教具的清点、整理、打包等准备工作，确保教具数量准确、功能完好；
2.根据培训安排，与相关部门沟通协调，及时、安全地将教具运送至指定培训地点，并在培训结束后完成教具回收、归位工作。
3.参与仓库日常管理，对仓库内物资进行分类整理、摆放，定期协助盘点库存，确保库存数据准确；
4.维护仓库环境整洁，做好防潮、防火、防盗等安全工作；根据物资出入库情况，更新仓库物资台账，保证账物一致。​
5.协助完成领导安排的其他与教具管理、仓库运营相关的临时性工作任务。",本科,1,2025-07-02 11:26,城安传播,11~50人,广东,生物|医药
26年毕业大专实习生-蜂巢能源直签,200-300元/天,6个月,负责蜂巢能源的新能源电池车间自动化设备的正常运行、维护、保养、记录数据等工作任务，保证自动化设备正常运行，并对数据整理分析。,大专,111,2025-06-30 17:56,正华中天,51~100人,北京,咨询/法律/人力资源
人事实习生,100-150元/天,3个月,"1. 结合公司的战略发展需求，制定人力资源发展规划，合理调配公司的人力资源；
2. 深入了解各部门的用人需求制定招聘计划，负责招聘工作的执行、管理及效果跟踪、反馈；
3. 了解内部培训需求，根据各部门的需求制定不同时期的培训计划，并协调各部门确保培训工作的顺利展开；
4. 负责绩效工作的执行与管理，包括协助部门制定绩效考核方案，实施与执行落地，绩效数据汇总与分析；
5. 负责员工薪酬福利的制定，完成员工每月的薪酬核算；
6. 负责企业文化建设工作，包括传递公司企业文化价值观、开展企业文化活动等工作；
7.",大专,2,2025-07-02 07:19,润普网络,101~300人,广东,互联网|游戏|软件
26年毕业大专实习生-蜂巢能源直签,200-300元/天,6个月,负责蜂巢能源的新能源电池车间自动化设备的正常运行、维护、保养、记录数据等工作任务，保证自动化设备正常运行，并对数据整理分析。,大专,111,2025-06-30 17:53,正华中天,51~100人,北京,咨询/法律/人力资源
见习海外市场工程师,100-200元/天,3个月,"1.负责公司产品的销售及推广；
2开拓维护海外市场，宣传、销售公司产品；收集海外项目工程资料。
3.管理维护老客户，发掘新客户，扩大销售范围；
4.定期和客户联系沟通，了解客户的使用感，建立长期的合作关系。",大专,1,2025-06-25 08:37,格林电工,101~300人,江苏,能源|环保
见习销售工程师,100-200元/天,6个月,"1.负责公司产品的销售及推广；
2.熟练掌握公司产品的适用范围和使用方法，及时向客户反馈产品的有关信息；
3.管理维护老客户，发掘新客户，扩大销售范围；
4.定期和客户联系沟通，了解客户的使用感，建立长期的合作关系。",大专,1,2025-06-25 08:37,格林电工,101~300人,江苏,能源|环保
产品经理实习生,240-250元/天,2个月,"* 协助进行阅读类产品的运营和优化
* 负责对阅读产品的UI交互、内容展示结果进行测试反馈和设计优化，周期性输出产品现状报告，识别产品改进机会
* 协助跟进产品的优化项目，与各团队沟通，保障产品成功发布",本科,1,2025-06-16 18:01,Bytetrade,11~50人,北京,互联网|游戏|软件
