岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
摄影与艺术出版分社实习生,面议,3个月,（1）协助各大网站相关图书信息维护,本科,3,2023-04-07 11:24,电子社,301~1000人,北京,广告|传媒|文化|体育
HR实习生,100-200元/天,2个月,岗位职责：,本科,25,2023-04-10 10:30,科锐国际,1001~3000人,北京,咨询/法律/人力资源
A股上市公司猎头顾问实习生,100-120元/天,3个月,认识我们,本科,150,2023-04-10 10:13,科锐国际,3001人及以上,北京,咨询/法律/人力资源
政府信息化咨询助理（实习生）,120-150元/天,6个月,1. 协助咨询顾问为政府相关委办局提供政府信息化相关的全过程咨询服务，包括政府信息化项目的前期咨询、深化设计、监理服务等工作，解决政府相关委办局客户信息化建设中相关专业领域的整体架构、建设方案、过程管理、合法合规等各类管理问题。,本科,3,2023-04-07 16:14,邮研院,1001~3000人,上海,IT|通信|电子
财务实习生,120-150元/天,3个月,1. 负责财务部各业务模块的数据整理、筛选，单据核对工作；,本科,3,2023-04-07 16:29,和誉生物,101~300人,上海,生物|医药
HR招聘实习生,130-150元/天,3个月,1. 结合业务发展和用人部门需求，确定招聘需求并实施招聘；,本科,10,2023-04-10 13:58,中芯国际,3001人及以上,上海,IT|通信|电子
质量与法规事务实习生,120-150元/天,3个月,职位描述：,不限,1,2023-04-07 10:44,费森尤斯医疗,1001~3000人,上海,生物|医药
上市公司-猎头实习生（线下）,120-150元/天,3个月,1、协助猎头顾问并独立对互联网/高科技客户需求职位（技术岗位居多）进行分析； ,本科,5,2023-04-04 15:45,科锐国际,3001人及以上,北京,咨询/法律/人力资源
医学代表实习生-吉林,120-150元/天,3个月,1. 遵循国家，行业和公司的法规，秉持高标准的商业规范。,本科,30,2023-04-10 15:07,阿斯利康,3001人及以上,上海,生物|医药
医学代表实习生-内蒙古,120-150元/天,3个月,1. 遵循国家，行业和公司的法规，秉持高标准的商业规范。,本科,30,2023-04-10 15:07,阿斯利康,3001人及以上,上海,生物|医药
KOL执行实习生,120-150元/天,3个月,1）负责配合执行提报商务需求,本科,1,2023-04-06 11:43,爱点击,1001~3000人,上海,互联网|游戏|软件
上市公司 · 猎头实习生（西安）线下,100-200元/天,3个月,1、协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求；,本科,10,2023-04-04 15:47,科锐国际,3001人及以上,北京,咨询/法律/人力资源
校园推广大使,面议,长期,1.负责校园内打车软件的推广工作，完成推广团队的招募及管理,大专,30,2023-04-04 15:36,货拉拉,3001人及以上,广东,互联网|游戏|软件
校园推广大使,面议,长期,1.负责校园内打车软件的推广工作，完成推广团队的招募及管理,本科,30,2023-04-06 19:17,货拉拉,3001人及以上,广东,互联网|游戏|软件
固定收益部实习生,120-150元/天,3个月,重点协助投资助理、产品助理、信用研究助理中的其中一个方向工作，协助剩余方向的工作，可能涉及的工作有：,本科,3,2023-04-04 17:48,云南信托,101~300人,上海,金融
会计实习生,150-200元/天,4个月,JOB RESPONSIBILITY：,本科,1,2023-04-06 10:43,卡特彼勒,301~1000人,北京,汽车|机械|制造
海外市场实习生,150-180元/天,3个月,【工作职责】,本科,1,2023-04-07 14:05,叽里呱啦,301~1000人,上海,互联网|游戏|软件
