岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
市场渠道合伙人（新媒体实习生）,112-114元/天,长期,1.学生端团队管理：团队人员招募、培训运营维护、高校kol新媒体渠道的开发，例如小红书、抖音、视频号等；,本科,6,2023-03-29 11:38,前程无忧,1001~3000人,广东,互联网|游戏|软件
校园渠道合伙人（非标合伙人）,112-114元/天,长期,1.日常校园渠道任务的领取与执行；,本科,6,2023-03-29 11:33,前程无忧,1001~3000人,广东,互联网|游戏|软件
订单实习生（上海杨浦）,250-300元/天,6个月,1、根据SOP要求处理合同订单,本科,1,2023-03-29 09:59,上海中智,3001人及以上,上海,咨询/法律/人力资源
校园执行合伙人（校园大使）,112-114元/天,1个月,1.日常宣传任务的领取与执行；,本科,6,2023-03-29 09:47,前程无忧,1001~3000人,广东,互联网|游戏|软件
会务助理,180-200元/天,2个月,协助完成展前及展期商务板块的各项工作，包括志愿者管理、餐饮、交通、大会出入口管理等。,大专,2,2023-03-31 16:49,深圳时尚家居设计周,101~300人,广东,广告|传媒|文化|体育
广州粤语资源工程师助理,180-220元/天,3个月,1. 协助工程师开展人工智能语音合成研发工作，提供语音、语法、语义规则总结与优化；,本科,2,2023-03-24 16:29,上海科大讯飞,301~1000人,上海,互联网|游戏|软件
薪资实习生（天津）,100-150元/天,3个月,协助处理员工每月薪资核算；完成上级交办的其他工作。 ,本科,20,2023-03-24 13:36,科锐国际,3001人及以上,北京,咨询/法律/人力资源
销售实习生,150-180元/天,6个月,零基础实习一对一导师暑期实习可转正实习,大专,50,2023-03-31 07:59,科锐国际,3001人及以上,上海,咨询/法律/人力资源
项目管培生,8-11K/月,1个月,优胜者将与 FESCO Adecco 总经理或各地公司、子品牌总经理共事一个月，参与到公司的管理决策，积累一段非凡的职场经验。,不限,2,2023-04-06 18:28,FAFULI,101~300人,上海,咨询/法律/人力资源
电话销售,8-12K/月,6个月,1. 通过电话与客户进行有效沟通，了解客户需求，寻找销售机会并完成业绩；,本科,5,2023-04-06 15:32,链家,3001人及以上,北京,建筑|地产|家居
Lianjia.链家】实习生/应届生/底薪6000+提成,8-12K/月,6个月,1.负责客户接待、咨询工作，为客户提供专业的房地产职业咨询服务；,本科,5,2023-04-06 15:32,链家,3001人及以上,北京,建筑|地产|家居
【链家】置业顾问/师徒制 底薪6000+高提成,8-12K/月,6个月,1.负责客户接待、咨询工作，为客户提供专业的房地产职业咨询服务；,本科,5,2023-04-06 15:31,链家,3001人及以上,北京,建筑|地产|家居
销售,8-12K/月,长期,1、负责维护各个线上渠道的房源，保证信息准确、真实；,本科,5,2023-04-06 15:31,链家,3001人及以上,北京,建筑|地产|家居
【火爆职位】链家总部——线上销售,8-12K/月,6个月,岗位职责：,本科,5,2023-04-06 15:32,链家,3001人及以上,北京,建筑|地产|家居
财务实习生,150-160元/天,3个月,1.支持公司结算系统的日常操作与管理; ,本科,2,2023-04-06 18:52,科锐国际,1001~3000人,四川,咨询/法律/人力资源
线上销售,8-12K/月,长期,1、负责维护各个线上渠道的房源，保证信息准确、真实；,本科,10,2023-04-07 14:34,链家,3001人及以上,北京,建筑|地产|家居
财务实习生,150-160元/天,3个月,1.支持公司结算系统的日常操作与管理; ,本科,2,2023-04-06 18:52,科锐国际,1001~3000人,四川,咨询/法律/人力资源
财务实习生,100-150元/天,3个月,1、 了解财务的相关工作内容，协调处理好银行、税务等各部门的工作关系；,大专,2,2023-04-07 06:36,润普网络,101~300人,广东,互联网|游戏|软件
猎头顾问实习生,100-200元/天,3个月,"1、 协助专业顾问分析客户的职位需求,明确目标公司的用人需求和候选人的职业发展诉求;",本科,3,2023-04-07 08:41,科锐国际,1001~3000人,四川,互联网|游戏|软件
招聘助理实习生,100-200元/天,2个月,"1、 协助专业顾问分析客户的职位需求,明确目标公司的用人需求和候选人的职业发展诉求;",本科,3,2023-04-10 14:11,科锐国际,1001~3000人,四川,互联网|游戏|软件
猎头实习生,150-200元/天,3个月,1.根据客户所在行业，客户需求以及目标职位的分析，拟定一套完善的用人寻访目标公司和候选人寻访方案,本科,5,2023-04-10 14:30,英特利普,51~100人,广东,IT|通信|电子
投资实习生,100-110元/天,3个月,1、协助团队进行物流、供应链等相关行业的信息搜寻、整理；,本科,3,2023-04-10 16:27,远海物流基金,10人以内,上海,金融
线上销售,8-12K/月,长期,1、负责维护各个线上渠道的房源，保证信息准确、真实；,本科,10,2023-04-08 10:26,链家,3001人及以上,北京,建筑|地产|家居
前台行政实习生,100-150元/天,3个月,1.负责公司前台接待访客，并及时准确通知被访人员；,大专,1,2023-04-09 06:42,润普网络,101~300人,广东,互联网|游戏|软件
CEO助理,120-150元/天,3个月,1.CEO日常行程的协调、安排； ,本科,1,2023-04-07 17:28,智领国际,11~50人,广东,咨询/法律/人力资源
会计实习生（工资:2-4k）（双休、包餐、不用外勤）,2-4K/月,长期,【工作内容】,大专,30,2023-04-06 10:57,顶呱呱集团,3001人及以上,广东,咨询/法律/人力资源
人事实习生,150-151元/天,3个月,1.负责新员工入离职流程手续办理；,本科,1,2023-04-04 11:52,科翼传播,101~300人,上海,广告|传媒|文化|体育
研究员,60-120元/天,3个月,行业研究/数据研究/量化研究/基金研究,本科,3,2023-04-10 15:23,锆石私募,10人以内,浙江,金融
猎头顾问实习生,100-200元/天,3个月,1、根据目标职位做分析，制定目标候选人寻访方案；,本科,20,2023-04-10 09:53,科锐国际,1001~3000人,四川,互联网|游戏|软件
前台行政实习生,100-150元/天,3个月,1.负责公司前台接待访客，并及时准确通知被访人员；,大专,1,2023-04-09 06:42,润普网络,101~300人,广东,互联网|游戏|软件
CEO助理,120-150元/天,3个月,1.CEO日常行程的协调、安排； ,本科,1,2023-04-07 17:28,智领国际,11~50人,广东,咨询/法律/人力资源
项目管培生,8-11K/月,1个月,优胜者将与 FESCO Adecco 总经理或各地公司、子品牌总经理共事一个月，参与到公司的管理决策，积累一段非凡的职场经验。,不限,2,2023-04-06 18:28,FAFULI,101~300人,上海,咨询/法律/人力资源
线上销售,8-12K/月,长期,1、负责维护各个线上渠道的房源，保证信息准确、真实；,本科,10,2023-04-07 14:34,链家,3001人及以上,北京,建筑|地产|家居
市场营销,8-12K/月,长期,1.负责客户接待、咨询工作，为客户提供专业的房地产职业咨询服务；,本科,5,2023-04-06 15:31,链家,3001人及以上,北京,建筑|地产|家居
销售,8-12K/月,长期,1.负责线上Online渠道链家网的房产信息维护推广，打造个人的专业品牌,本科,5,2023-04-08 10:26,链家,3001人及以上,北京,建筑|地产|家居
链家集团】诚聘销售精英-应届毕业生/实习生,8-12K/月,长期,1.负责客户接待、咨询工作，为客户提供专业的房地产职业咨询服务；,本科,5,2023-04-06 15:31,链家,3001人及以上,北京,建筑|地产|家居
商务支持,8-12K/月,长期,1.负责客户接待、咨询工作，为客户提供专业的房地产职业咨询服务；,本科,5,2023-04-06 15:32,链家,3001人及以上,北京,建筑|地产|家居
Lianjia.链家】实习生/应届生/底薪6000+提成,8-12K/月,长期,1、负责维护各个线上渠道的房源，保证信息准确、真实；,本科,5,2023-04-06 15:31,链家,3001人及以上,北京,建筑|地产|家居
猎头实习生,100-200元/天,3个月,1、协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求；,本科,30,2023-04-10 10:24,科锐国际,1001~3000人,陕西,咨询/法律/人力资源
HR实习生,100-200元/天,3个月,1、负责公司业务团队维护、拓展公司招聘渠道，更新招聘信息；,本科,30,2023-04-10 10:24,科锐国际,1001~3000人,陕西,咨询/法律/人力资源
猎头顾问实习生,100-200元/天,3个月,1、协助专业顾问分析客户的职位需求，明确目标公司的用人需求和候选人的职业发展诉求；,本科,30,2023-04-10 09:53,科锐国际,1001~3000人,四川,互联网|游戏|软件
猎头顾问实习生,100-200元/天,2个月,"1、 协助专业顾问分析客户的职位需求,明确目标公司的用人需求和候选人的职业发展诉求;",本科,3,2023-04-10 14:12,科锐国际,1001~3000人,四川,互联网|游戏|软件
微信编辑,2-4K/月,6个月,1.负责微信头部科技大号的文章撰写；,大专,2,2023-04-04 15:44,锋潮网络,11~50人,广东,互联网|游戏|软件
实习媒介执行,90-120元/天,5个月,建立广告排期；定期更新、完善媒介信息库；负责项目执行及进度维稳,大专,2,2023-04-04 15:44,锋潮网络,11~50人,广东,互联网|游戏|软件
人事实习生,100-150元/天,3个月,1. 结合公司的战略发展需求，制定人力资源发展规划，合理调配公司的人力资源；,大专,2,2023-04-08 07:10,润普网络,101~300人,广东,互联网|游戏|软件
人力资源实习生,100-200元/天,3个月,"1、 协助专业顾问分析客户的职位需求,明确目标公司的用人需求和候选人的职业发展诉求;",本科,3,2023-04-10 16:35,科锐国际,1001~3000人,四川,互联网|游戏|软件
出口清关专员,150-200元/天,3个月,工作职责：,本科,5,2023-04-10 16:42,虹科电子,51~100人,广东,IT|通信|电子
产品工程师实习生,150-200元/天,3个月,1. 负责国内外产品市场行情的调研和分析，根据分析结果开发针对性的新产品及现有产品优化；,本科,5,2023-04-10 16:45,虹科电子,51~100人,广东,IT|通信|电子
人力资源实习生,100-200元/天,3个月,"1、 协助专业顾问分析客户的职位需求,明确目标公司的用人需求和候选人的职业发展诉求;",本科,3,2023-04-10 16:35,科锐国际,1001~3000人,四川,互联网|游戏|软件
猎头招聘助理实习生,120-150元/天,3个月,1、协助猎头顾问，通过各种专业的方式进行人选搜寻；,本科,3,2023-04-07 17:28,智领国际,11~50人,广东,咨询/法律/人力资源
产品工程师实习生,150-200元/天,3个月,1. 负责国内外产品市场行情的调研和分析，根据分析结果开发针对性的新产品及现有产品优化；,本科,5,2023-04-10 16:45,虹科电子,51~100人,广东,IT|通信|电子
财务实习生,80-150元/天,3个月,地产行业TOP10，上市公司，财务实习岗位。,本科,2,2023-04-06 18:52,科锐国际,1001~3000人,四川,咨询/法律/人力资源
行政实习生,80-160元/天,3个月,1、来访客户接待及会议服务；,本科,2,2023-04-03 18:09,赛迪软测,101~300人,北京,互联网|游戏|软件
股权投行承做实习生,100-120元/天,2个月,1、协助项目组人员负责股权类业务的项目承做，参与项目的尽职调查、方案设计、工作底稿及申报材料制作、项目报批、项目发行等全过程运作；,硕士,2,2023-03-24 11:03,天风证券,301~1000人,湖北,金融
人力实习生,80-160元/天,3个月,1.协助处理公司人力资源相关文件、档案收录整理；,本科,2,2023-04-03 17:31,赛迪软测,101~300人,北京,互联网|游戏|软件
公关实习生,80-81元/天,3个月,1.在大快消的背景下，轮岗不同的客户，感受外企和国企背景客户的各种需求，专业公关人应该提供何种策略应对需求。,本科,2,2023-04-03 11:17,环智传媒,51~100人,广东,广告|传媒|文化|体育
人力实习生-员工关系方向,150-250元/天,长期,工作内容,本科,2,2023-03-28 11:05,万宝盛华,101~300人,广东,互联网|游戏|软件
项目监管实习生,140-160元/天,6个月,上市以来，凡科通过为企业用户提供多元、高效、易用的互联网工具，已帮助了越来越多的企业有效降低了运营成本。随着凡科规模的进一步扩大，我们期待着更多新鲜血液的加入！,大专,2,2023-03-28 10:25,凡科,301~1000人,广东,互联网|游戏|软件
视频剪辑实习生,100-150元/天,3个月,1、负责课程视频的错误点剪辑、配字幕（无逐字稿）；,本科,1,2023-03-27 11:35,信公咨询,101~300人,上海,咨询/法律/人力资源
湖南广播电视台茶频道 -直播运营实习生,面议,3个月,岗位职责：,本科,1,2023-03-27 10:19,快乐垂钓频道,101~300人,湖南,广告|传媒|文化|体育
质量实习生,120-130元/天,4个月,岗位职责：,本科,3,2023-03-27 09:27,法雷奥佛山冷却,301~1000人,广东,汽车|机械|制造
招聘实习生,100-120元/天,3个月,1、负责招聘计划的实施，维护招聘渠道，与业务部门协调；,本科,20,2023-03-23 19:20,聚鑫通,301~1000人,辽宁,咨询/法律/人力资源
算法实习生,150-250元/天,4个月,自动驾驶算法对接相关工作,本科,2,2023-03-23 16:55,51WORLD,301~1000人,北京,互联网|游戏|软件
web开发工程师,150-200元/天,4个月,1. 车辆自动驾驶仿真平台Web端功能设计、开发和实现,本科,2,2023-03-23 16:49,51WORLD,301~1000人,北京,互联网|游戏|软件
日语合同管理实习生,150-180元/天,6个月,在这个岗位上，您将有机会,本科,1,2023-03-23 16:33,飞利浦,3001人及以上,上海,生物|医药
TB实习生（杭州）,120-200元/天,4个月,1、配合销售做销售拓展，挖掘客户需求,本科,5,2023-03-23 16:32,51WORLD,301~1000人,北京,互联网|游戏|软件
TB实习生(苏州),120-200元/天,4个月,1、配合销售做销售拓展，挖掘客户需求,本科,2,2023-03-23 16:30,51WORLD,301~1000人,北京,互联网|游戏|软件
TB实习生(武汉),120-200元/天,4个月,1、配合销售做销售拓展，挖掘客户需求,本科,2,2023-03-23 16:25,51WORLD,301~1000人,北京,互联网|游戏|软件
TB实习生(深圳),120-200元/天,6个月,1、配合销售做销售拓展，挖掘客户需求,本科,2,2023-03-23 16:18,51WORLD,301~1000人,北京,互联网|游戏|软件
财务实习,2-4K/月,3个月,2023、2024应届毕业生，本科以上财务、会计类专业。,本科,1,2023-03-23 14:26,英可瑞,301~1000人,广东,IT|通信|电子
人力资源岗,3-4K/月,3个月,1、执行日常招聘工作，包括简历筛选、面试安排等,本科,1,2023-03-23 14:10,安全研究院,301~1000人,广东,政府/非盈利机构/其他
招聘实习生 （线上）,100-150元/天,3个月,1、利用各种招聘渠道发布招聘广告，寻求符合公司标准业务发展人才,本科,20,2023-03-23 14:06,科锐国际,3001人及以上,北京,咨询/法律/人力资源
平面设计实习生（北京）,100-150元/天,3个月,1. 协助市场、运营、培训等团队进行各类海报设计；,本科,20,2023-03-23 14:01,科锐国际,3001人及以上,北京,咨询/法律/人力资源
社保实习生（北京）,100-150元/天,3个月,1、整理城市社保公积金政策；,本科,20,2023-03-23 14:00,科锐国际,3001人及以上,北京,咨询/法律/人力资源
报销实习生（北京）,100-150元/天,3个月,1、协助组内人员完成数据录入；,本科,20,2023-03-23 13:56,科锐国际,3001人及以上,北京,咨询/法律/人力资源
人力资源品牌实习生,120-150元/天,长期,"*Support Employer Branding project execution, e.g, internal process follow up, branding innovation implementation",本科,1,2023-03-23 12:42,费森尤斯医疗,1001~3000人,上海,生物|医药
Brand & Market Management,150-200元/天,3个月,"We are looking for an enthusiastic intern to join the marketing team to help achieve our goals. The intern is responsible for supporting 3 key areas of work: marketing expense reimbursement, data processing and business intelligence, and event organization.",本科,1,2023-03-23 11:09,美的集团,3001人及以上,广东,汽车|机械|制造
项目经理助理实习生,70-100元/天,6个月,1、负责项目的行政管理、员工报销、员工工时、考勤、员工宿舍、快件及传真的收发等部门行政相关工作；,本科,1,2023-03-23 10:18,亚信科技,3001人及以上,北京,IT|通信|电子
互联网产品实习生,70-100元/天,6个月,1、参与项目前期的需求调研、分析归类、攒写需求文档PRD，完成产品原型设计；,本科,2,2023-03-23 10:17,亚信科技,3001人及以上,北京,IT|通信|电子
行政专员/助理,2-3K/月,6个月,1、负责项目的行政管理、员工报销、员工工时、考勤、员工宿舍、快件及传真的收发等部门行政相关工作；,本科,1,2023-03-23 10:17,亚信科技,3001人及以上,北京,IT|通信|电子
人事实习生,120-140元/天,3个月,1、发布招聘信息并维护，通过各种渠道筛选候选人简历；,本科,2,2023-03-27 15:20,万宝盛华,101~300人,广东,互联网|游戏|软件
市场部实习生,130-150元/天,2个月,1.负责有关展会宣传的素材准备，包括图片制作、短视频剪辑等,本科,1,2023-03-27 15:17,光亚法兰克福,11~50人,广东,广告|传媒|文化|体育
仓库货物整理兼职,120-130元/天,4个月,工作内容：整理仓库货物，货物打包和发货（非大件货）。,不限,1,2023-03-27 10:04,善世服务,101~300人,广东,咨询/法律/人力资源
剪辑实习生,120-150元/天,3个月,1、使用Adobe Premiere/Final Cut Pro进行后期编辑,本科,1,2023-03-28 19:43,虎嗅网,101~300人,北京,广告|传媒|文化|体育
销售助理,4-7K/月,长期,1.通过电话、微信或者其他沟通方式与客户建立联系，为其提供专业的选择和建议；,本科,20,2023-03-23 14:48,学旅家,101~300人,上海,互联网|游戏|软件
医学内容运营实习生,150-200元/天,3个月,【职位介绍】,硕士,1,2023-03-22 13:51,阿斯利康,3001人及以上,上海,生物|医药
市场实习生,3-5K/月,6个月,岗位内容：,大专,2,2023-03-23 09:16,深圳宝创,1001~3000人,广东,汽车|机械|制造
财务实习生,3-5K/月,6个月,岗位职责:,大专,2,2023-03-23 09:13,深圳宝创,1001~3000人,广东,汽车|机械|制造
工业智能算法工程师（实习生）,300-450元/天,3个月,产品方向：,硕士,4,2023-03-22 11:23,信润富联,101~300人,广东,互联网|游戏|软件
工业智能硬件产品助理（实习生）,300-450元/天,3个月,产品方向：,本科,2,2023-03-22 11:23,信润富联,101~300人,广东,互联网|游戏|软件
合同助理,150-180元/天,2个月,工作职责：,大专,1,2023-03-22 10:37,E+H,301~1000人,上海,汽车|机械|制造
薪酬福利实习生,120-144元/天,3个月,协助各类员工福利项目的活动材料设计和执行，包括弹性福利、认可激励、储蓄计划,本科,1,2023-03-22 10:16,费森尤斯医疗,1001~3000人,上海,生物|医药
用户运营实习生（to a）,150-200元/天,3个月,你将参与以下工作：,本科,1,2023-03-31 18:39,手回集团,301~1000人,广东,互联网|游戏|软件
设计实习生,150-200元/天,3个月,职责描述：,本科,1,2023-03-31 18:37,手回集团,301~1000人,广东,互联网|游戏|软件
医学部实习生,100-150元/天,3个月,1) 制作内容方面ppt ,本科,1,2023-03-21 17:15,益普生,3001人及以上,北京,生物|医药
医学部实习生,100-150元/天,3个月,1) 制作内容方面ppt ,本科,1,2023-03-21 17:15,益普生,3001人及以上,北京,生物|医药
企业文化内容运营,200-220元/天,3个月,1. 理解业务及文化，运用媒体内容传播手段，以文章、长图、视频等用户喜闻乐见的内容形式，面向员工传递公司文化。,本科,1,2023-03-21 16:25,美团,1001~3000人,北京,互联网|游戏|软件
企业文化数据运营,200-220元/天,3个月,1. 支持员工沟通渠道、员工沟通项目数据整理、分析，洞察用户行为，发现问题，提出改进建议。,本科,1,2023-03-21 16:25,美团,1001~3000人,北京,互联网|游戏|软件
短视频运营编导实习生,120-150元/天,3个月,1、制作适合小红书、抖音等社交平台的脚本和拍摄大纲,本科,1,2023-03-21 14:57,爱点击,1001~3000人,上海,互联网|游戏|软件
Tiktok主播助理 需晚班,250-300元/天,3个月,1、以直播的方式向观众展示公司商品，并实时向顾客解答和提问，引导观众关注店铺及进行成交；,本科,10,2023-03-21 14:45,学而思培优,3001人及以上,北京,教育培训
金融实习生,4-6K/月,长期,1、负责公司财经新闻更新，早盘点评，收盘点评等内容推送；,本科,17,2023-03-22 11:19,经传多赢,1001~3000人,广东,金融
剪辑实习生,100-200元/天,3个月,岗位职责：,本科,1,2023-03-21 14:09,百姓网,301~1000人,上海,互联网|游戏|软件
线上实习生,100-200元/天,3个月,、利用各种招聘渠道发布招聘广告，寻求符合公司标准业务发展人才,本科,40,2023-03-28 10:17,科锐国际,3001人及以上,上海,咨询/法律/人力资源
线上实习生,100-200元/天,3个月,1.负责提供全年活动策划与规划，组织学生开展各类活动、比赛、宣传，扩大在目标高校的雇主品牌影响力。,本科,40,2023-03-28 10:11,科锐国际,3001人及以上,上海,咨询/法律/人力资源
法务实习生,100-120元/天,6个月,负责部门文书类行政类工作，以及合同校对打印盖章、案例编写等。,本科,1,2023-03-22 09:06,Fesco广东,301~1000人,广东,咨询/法律/人力资源
视频剪辑实习生,150-250元/天,4个月,工作职责：,本科,1,2023-03-21 10:37,百姓网,301~1000人,上海,互联网|游戏|软件
市场部实习生,120-150元/天,2个月,职位描述：,本科,2,2023-03-27 10:28,虎嗅网,101~300人,北京,广告|传媒|文化|体育
市场实习生,150-200元/天,3个月,职责描述：,大专,1,2023-03-30 14:41,手回集团,301~1000人,广东,互联网|游戏|软件
用户运营实习生（to c）,150-200元/天,3个月,职责描述：,本科,1,2023-03-30 14:36,手回集团,301~1000人,广东,互联网|游戏|软件
招聘助理实习生,100-200元/天,3个月,"1、 协助专业顾问分析客户的职位需求,明确目标公司的用人需求和候选人的职业发展诉求;",本科,3,2023-03-31 11:10,科锐国际,1001~3000人,四川,互联网|游戏|软件
商务运营实习生,150-200元/天,3个月,职责描述：,本科,1,2023-03-30 14:34,手回集团,301~1000人,广东,互联网|游戏|软件
平面设计实习生 Design Intern,100-150元/天,3个月,"1. Assist in the basic design work of the company's social medias, such as photo processing, copywriting, composing and poster design.",本科,1,2023-04-06 08:51,德利康,11~50人,广东,生物|医药
德语翻译实习生,100-150元/天,3个月,1. Assist the team to do the company documents translation.,本科,1,2023-04-06 08:51,德利康,11~50人,广东,生物|医药
新媒体运营实习生,100-150元/天,3个月,"1. Assist in the basic design work of the company's social medias, such as photo processing, copywriting and poster design.",本科,1,2023-04-06 08:51,德利康,11~50人,广东,生物|医药
总经办实习生,120-130元/天,2个月,工作内容：,本科,1,2023-04-10 14:59,B.Duck 小黄鸭,301~1000人,广东,快速消费品
法务实习生,120-130元/天,3个月,岗位职责：,本科,2,2023-04-10 15:07,B.Duck 小黄鸭,301~1000人,广东,快速消费品
硬核读书会公众号实习生,1-2K/月,4个月,1. 硬核读书会公众号的内容编辑、策划、组稿、发布；,本科,1,2023-04-07 08:52,新周刊,51~100人,广东,广告|传媒|文化|体育
九行公众号内容编辑运营实习生,1-2K/月,3个月,1、参与九行公众号的选题策划、编辑撰稿与内容运营。,本科,1,2023-04-07 08:52,新周刊,51~100人,广东,广告|传媒|文化|体育
德语翻译实习生,100-150元/天,3个月,1. Assist the team to do the company documents translation.,本科,1,2023-04-06 08:51,德利康,11~50人,广东,生物|医药
海外公寓咨询顾问,150-200元/天,2个月,【岗位要求】,本科,20,2023-03-21 13:24,学旅家,101~300人,上海,互联网|游戏|软件
内容运营实习生,3-4K/月,3个月,职位描述：,本科,2,2023-03-20 15:29,丁香园,1001~3000人,浙江,互联网|游戏|软件
选品实习生,130-150元/天,3个月,1、 负责开发有潜力成为爆款的品类、产品，并对其进行资源拓展及维护；,本科,2,2023-03-27 11:20,企鹅吃喝指南,51~100人,上海,互联网|游戏|软件
百科优质内容运营实习生-化学方向,145-150元/天,3个月,1、对用户生产的高校百科条目进行打分、给出修改意见，对内容质量进行把关；,本科,1,2023-03-20 14:31,字节跳动,3001人及以上,上海,互联网|游戏|软件
销售商务专员,140-170元/天,2个月,我们是：,本科,1,2023-03-21 09:26,盖瑞特,1001~3000人,上海,汽车|机械|制造
财务实习生,100-120元/天,3个月,1.增值税专用发票、增值税普通发票和广东省地方税收通用发票开具,本科,2,2023-03-20 09:21,东软,3001人及以上,广东,互联网|游戏|软件
门店实习生,130-150元/天,3个月,实习岗位介绍：原则上实习生均作为储备干部在门店实习3个月，实习结束后根据自身特长、自身意愿以及实习评价分配至门店、采购部、商品企划部、仓储等部门。如果部门业务需求实习生无需到门店实习，可在职能岗位实习。,大专,10,2023-03-30 11:51,逸之源,101~300人,浙江,快速消费品
财务助理,100-130元/天,3个月,1、协助领导收集、整理相关资料；,大专,4,2023-04-10 14:36,成功快车,51~100人,广东,互联网|游戏|软件
软件测试实习生,150-160元/天,3个月,承担多媒体软件的产品质量测试及管理相关工作。,本科,1,2023-04-10 13:13,尼禄软件,11~50人,浙江,互联网|游戏|软件
人力资源实习生,100-120元/天,3个月,1、通过各种方法（人才库、网站、社交平台等）完成目标候选人搜寻工作；,本科,1,2023-04-10 17:42,募格网络,50~150人,陕西,互联网|游戏|软件
UI实习生,150-160元/天,4个月,1、 参与公司产品移动端、PC端等用户界面交互设计和UI设计； ,本科,3,2023-04-06 10:21,尼禄软件,11~50人,浙江,互联网|游戏|软件
AI绘画平面实习生,150-160元/天,长期,1. 有一定线上宣传物料设计排版经验，有移动端的设计经验优先；,本科,1,2023-04-10 13:13,尼禄软件,11~50人,浙江,互联网|游戏|软件
文员助理实习生,120-130元/天,2个月,工作职责：,大专,3,2023-04-10 09:11,募格网络,50~150人,陕西,互联网|游戏|软件
法律合规部实习生,200-250元/天,3个月,1、协助支持投资业务，对拟投项目进行法律合规的初步调研和详细尽调，并整理工作底稿，撰写法律尽调报告，进行法律合规性评估，揭示风险并提出响应解决方案；,硕士,1,2023-03-30 09:36,国投招商,101~300人,江苏,金融
法务实习生,120-150元/天,3个月,【岗位职责】,本科,1,2023-03-28 15:55,编程猫,3001人及以上,广东,互联网|游戏|软件
CAD绘图员,面议,长期,熟练操作CAD和Office办公软件，思维活跃，有良好的沟通与组织协调能力；,不限,3,2023-04-03 09:26,RYBO,10人以内,上海,建筑|地产|家居
Marketing and Communication,100-150元/天,4个月,- 社交媒体（主要负责小红书、视频号、B站，协助微信公众号、SKEMA Suzhou 微信朋友圈、微博等）的运营,本科,2,2023-03-27 09:37,SK商学院,11~50人,江苏,教育培训
市场招生助理,100-150元/天,3个月,1、维护客户，收集和更新来自不同渠道的潜在客户的信息,本科,1,2023-03-27 09:37,SK商学院,11~50人,江苏,教育培训
新媒体运营（小红书）,1-2K/月,长期,1.小红书达人合作对接、建联、笔记发布全流程跟进,本科,10,2023-03-29 19:11,高途课堂,3001人及以上,北京,教育培训
财务实习生,130-150元/天,6个月,1. 协助主管完成基础财务审批流程；,大专,1,2023-03-29 17:51,淘米网络,301~1000人,上海,互联网|游戏|软件
实习生（数据分析岗）,200-400元/天,5个月,1、处理和挖掘金融数据，协助进行金融市场分析研究；,本科,2,2023-03-23 17:44,思晔投资,51~100人,上海,金融
运营实习生,100-200元/天,3个月,1.协助私募基金设立过程中的募集、成立，备案等工作；,本科,2,2023-03-29 17:33,展弘投资,11~50人,上海,金融
Analyst Intern,100-120元/天,3个月,• Copy editing on both Chinese and English,本科,1,2023-04-07 10:36,RTG,51~100人,上海,广告|传媒|文化|体育
人力资源咨询项目助理,100-120元/天,3个月,1.线上参与配合人力资源类项目的调研分析与方案配套材料梳理设计； ,本科,10,2023-04-04 10:48,驱动咨询,51~100人,上海,咨询/法律/人力资源
咨询师,100-200元/天,3个月,1.为交通运输部提供技术支撑,硕士,1,2023-04-10 14:09,中路交科,11~50人,北京,咨询/法律/人力资源
投标助手,120-180元/天,3个月,岗位职责:,本科,1,2023-04-07 13:37,普仕英才,51~100人,北京,咨询/法律/人力资源
猎头顾问助理实习生(深圳),80-150元/天,3个月,1）协助资深猎头顾问整理和收集目标行业的信息，分析客户需求；,本科,5,2023-04-06 09:34,赛睿人力资源,301~1000人,广东,咨询/法律/人力资源
VIP特邀买家实习生,160-180元/天,4个月,(一）,大专,10,2023-04-07 09:05,cioe中国光博会,51~100人,广东,政府/非盈利机构/其他
校园主理人（出国考试语言培训）,面议,3个月,1-开发留学语言培训学生，可以是在校内线下推广也可以通过小红书等新媒体平台运营。,本科,30,2023-04-10 13:30,海亮国际教育,101~300人,浙江,教育培训
客户经理助理,100-200元/天,3个月,1、商务线索挖掘：搜寻各地创业大赛、人才政策相关信息，协助数据统计；,本科,100,2023-04-07 11:40,景行科创,11~50人,浙江,咨询/法律/人力资源
校内大使实习,2-4K/月,长期,1. 在校工作，负责海亮国际语培校园品牌与产品宣传工作，如：品牌推广、课程宣传、筹备社群等；,本科,30,2023-04-10 13:28,海亮国际教育,101~300人,浙江,教育培训
行政助理,100-150元/天,长期,1. 协助处理公司办公室事务：包括办公费用报销、发票开具、活动组织等,大专,1,2023-04-10 10:53,迈睿咨询,11~50人,广东,咨询/法律/人力资源
助理猎头顾问,100-150元/天,长期,1、客户职位需求评估分析，分析招聘需求的详细信息并实施有效的招聘行动；,本科,2,2023-04-10 10:53,迈睿咨询,11~50人,广东,咨询/法律/人力资源
人力资源咨询项目助理,100-120元/天,3个月,1.线上参与配合人力资源类项目的调研分析与方案配套材料梳理设计； ,本科,10,2023-04-04 10:48,驱动咨询,51~100人,上海,咨询/法律/人力资源
客户运营,100-200元/天,长期,1.负责联系维护创业项目,不限,5,2023-04-10 17:52,景行创服,10人以内,浙江,政府/非盈利机构/其他
