岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域,发布日期,年
产品工程师实习生,175.0,3个月,"['\xa0', '负责', '国内外', '产品', '市场行情', '调研', '分析', '分析', '开发', '针对性', '产品', '现有', '产品', '优化']",本科,5,2023-04-10 16:45:00,虹科电子,51~100人,广东省,IT|通信|电子,2023-04-10,2023
猎头招聘助理实习生,135.0,3个月,"['协助', '猎头', '顾问', '专业', '方式', '进行', '人选', '搜寻']",本科,3,2023-04-07 17:28:00,智领国际,11~50人,广东省,咨询/法律/人力资源,2023-04-07,2023
财务实习生,115.0,3个月,"['地产', '行业', 'TOP10', '上市公司', '财务', '实习', '岗位']",本科,2,2023-04-06 18:52:00,科锐国际,1001~3000人,四川省,咨询/法律/人力资源,2023-04-06,2023
行政实习生,120.0,3个月,"['来访', '客户', '接待', '会议', '服务']",本科,2,2023-04-03 18:09:00,赛迪软测,101~300人,北京市,互联网|游戏|软件,2023-04-03,2023
股权投行承做实习生,110.0,2个月,"['协助', '项目组', '人员', '负责', '股权', '业务', '项目', '承', '做', '参与', '项目', '尽职', '调查', '方案设计', '工作', '底稿', '申报材料', '制作', '项目', '报批', '项目', '发行', '全过程', '运作']",硕士,2,2023-03-24 11:03:00,天风证券,301~1000人,湖北省,金融,2023-03-24,2023
人力实习生,120.0,3个月,"['协助', '处理', '公司', '人力资源', '相关', '文件', '档案', '收录', '整理']",本科,2,2023-04-03 17:31:00,赛迪软测,101~300人,北京市,互联网|游戏|软件,2023-04-03,2023
公关实习生,80.5,3个月,"['大快', '背景', '轮岗', '客户', '感受', '外企', '国企', '背景', '客户', '需求', '专业', '公关', '应该', '提供', '何种', '应对', '需求']",本科,2,2023-04-03 11:17:00,环智传媒,51~100人,广东省,广告|传媒|文化|体育,2023-04-03,2023
人力实习生-员工关系方向,200.0,长期,"['工作', '内容']",本科,2,2023-03-28 11:05:00,万宝盛华,101~300人,广东省,互联网|游戏|软件,2023-03-28,2023
项目监管实习生,150.0,6个月,"['上市', '凡科', '企业', '用户', '提供', '多元', '高效', '易用', '互联网', '工具', '帮助', '越来越', '企业', '有效', '降低', '运营', '成本', '凡科', '规模', '扩大', '期待', '新鲜血液', '加入']",大专,2,2023-03-28 10:25:00,凡科,301~1000人,广东省,互联网|游戏|软件,2023-03-28,2023
视频剪辑实习生,125.0,3个月,"['负责', '课程', '视频', '错误', '剪辑', '配', '字幕', '逐字', '稿']",本科,1,2023-03-27 11:35:00,信公咨询,101~300人,上海市,咨询/法律/人力资源,2023-03-27,2023
质量实习生,125.0,4个月,['岗位职责'],本科,3,2023-03-27 09:27:00,法雷奥佛山冷却,301~1000人,广东省,汽车|机械|制造,2023-03-27,2023
招聘实习生,110.0,3个月,"['负责', '招聘', '计划', '实施', '维护', '招聘', '渠道', '业务部门', '协调']",本科,20,2023-03-23 19:20:00,聚鑫通,301~1000人,辽宁省,咨询/法律/人力资源,2023-03-23,2023
算法实习生,200.0,4个月,"['自动', '驾驶', '算法', '对接', '相关', '工作']",本科,2,2023-03-23 16:55:00,51WORLD,301~1000人,北京市,互联网|游戏|软件,2023-03-23,2023
web开发工程师,175.0,4个月,"['\xa0', '车辆', '自动', '驾驶', '仿真', '平台', 'Web', '功能设计', '开发', '实现']",本科,2,2023-03-23 16:49:00,51WORLD,301~1000人,北京市,互联网|游戏|软件,2023-03-23,2023
日语合同管理实习生,165.0,6个月,"['岗位', '机会']",本科,1,2023-03-23 16:33:00,飞利浦,3001人及以上,上海市,生物|医药,2023-03-23,2023
TB实习生,160.0,4个月,"['配合', '销售', '做', '销售', '拓展', '挖掘', '客户', '需求']",本科,5,2023-03-23 16:32:00,51WORLD,301~1000人,北京市,互联网|游戏|软件,2023-03-23,2023
TB实习生,160.0,4个月,"['配合', '销售', '做', '销售', '拓展', '挖掘', '客户', '需求']",本科,2,2023-03-23 16:30:00,51WORLD,301~1000人,北京市,互联网|游戏|软件,2023-03-23,2023
TB实习生,160.0,4个月,"['配合', '销售', '做', '销售', '拓展', '挖掘', '客户', '需求']",本科,2,2023-03-23 16:25:00,51WORLD,301~1000人,北京市,互联网|游戏|软件,2023-03-23,2023
TB实习生,160.0,6个月,"['配合', '销售', '做', '销售', '拓展', '挖掘', '客户', '需求']",本科,2,2023-03-23 16:18:00,51WORLD,301~1000人,北京市,互联网|游戏|软件,2023-03-23,2023
财务实习,100.0,3个月,"['2023', '2024', '应届', '毕业生', '本科', '以上', '财务', '会计', '专业']",本科,1,2023-03-23 14:26:00,英可瑞,301~1000人,广东省,IT|通信|电子,2023-03-23,2023
人力资源岗,116.67,3个月,"['执行', '日常', '招聘', '工作', '包括', '简历', '筛选', '面试', '安排']",本科,1,2023-03-23 14:10:00,安全研究院,301~1000人,广东省,政府/非盈利机构/其他,2023-03-23,2023
招聘实习生 ,125.0,3个月,"['利用', '招聘', '渠道', '发布', '招聘广告', '寻求', '符合', '公司', '标准', '业务', '发展', '人才']",本科,20,2023-03-23 14:06:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-03-23,2023
平面设计实习生,125.0,3个月,"['\xa0', '协助', '市场', '运营', '培训', '团队', '进行', '各类', '海报设计']",本科,20,2023-03-23 14:01:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-03-23,2023
社保实习生,125.0,3个月,"['整理', '城市', '社保', '公积金', '政策']",本科,20,2023-03-23 14:00:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-03-23,2023
报销实习生,125.0,3个月,"['协助', '组内', '人员', '完成', '数据录入']",本科,20,2023-03-23 13:56:00,科锐国际,3001人及以上,北京市,咨询/法律/人力资源,2023-03-23,2023
人力资源品牌实习生,135.0,长期,"['Support', '\xa0', 'Employer', '\xa0', 'Branding', '\xa0', 'project', '\xa0', 'execution', '\xa0', 'g', '\xa0', 'internal', '\xa0', 'process', '\xa0', 'follow', '\xa0', 'up', '\xa0', 'branding', '\xa0', 'innovation', '\xa0', 'implementation']",本科,1,2023-03-23 12:42:00,费森尤斯医疗,1001~3000人,上海市,生物|医药,2023-03-23,2023
Brand & Market Management,175.0,3个月,"['We', '\xa0', 'are', '\xa0', 'looking', '\xa0', 'for', '\xa0', 'an', '\xa0', 'enthusiastic', '\xa0', 'intern', '\xa0', 'to', '\xa0', 'join', '\xa0', 'the', '\xa0', 'marketing', '\xa0', 'team', '\xa0', 'to', '\xa0', 'help', '\xa0', 'achieve', '\xa0', 'our', '\xa0', 'goals', '\xa0', 'The', '\xa0', 'intern', '\xa0', 'is', '\xa0', 'responsible', '\xa0', 'for', '\xa0', 'supporting', '\xa0', '\xa0', 'key', '\xa0', 'areas', '\xa0', 'of', '\xa0', 'work', '\xa0', 'marketing', '\xa0', 'expense', '\xa0', 'reimbursement', '\xa0', 'data', '\xa0', 'processing', '\xa0', 'and', '\xa0', 'business', '\xa0', 'intelligence', '\xa0', 'and', '\xa0', 'event', '\xa0', 'organization']",本科,1,2023-03-23 11:09:00,美的集团,3001人及以上,广东省,汽车|机械|制造,2023-03-23,2023
项目经理助理实习生,85.0,6个月,"['负责', '项目', '行政', '管理', '员工', '报销', '员工', '工时', '考勤', '员工', '宿舍', '快件', '传真', '收发', '部门', '行政', '相关', '工作']",本科,1,2023-03-23 10:18:00,亚信科技,3001人及以上,北京市,IT|通信|电子,2023-03-23,2023
互联网产品实习生,85.0,6个月,"['参与', '项目前期', '需求', '调研', '分析', '归类', '攒', '写', '需求', '文档', 'PRD', '完成', '产品', '原型', '设计']",本科,2,2023-03-23 10:17:00,亚信科技,3001人及以上,北京市,IT|通信|电子,2023-03-23,2023
行政专员/助理,83.33,6个月,"['负责', '项目', '行政', '管理', '员工', '报销', '员工', '工时', '考勤', '员工', '宿舍', '快件', '传真', '收发', '部门', '行政', '相关', '工作']",本科,1,2023-03-23 10:17:00,亚信科技,3001人及以上,北京市,IT|通信|电子,2023-03-23,2023
人事实习生,130.0,3个月,"['发布', '招聘', '信息', '维护', '各种渠道', '筛选', '候选人', '简历']",本科,2,2023-03-27 15:20:00,万宝盛华,101~300人,广东省,互联网|游戏|软件,2023-03-27,2023
市场部实习生,140.0,2个月,"['负责', '展会', '宣传', '素材', '准备', '包括', '图片', '制作', '视频剪辑']",本科,1,2023-03-27 15:17:00,光亚法兰克福,11~50人,广东省,广告|传媒|文化|体育,2023-03-27,2023
仓库货物整理兼职,125.0,4个月,"['工作', '内容', '整理', '仓库', '货物', '货物', '打包', '发货', '大件', '货']",不限,1,2023-03-27 10:04:00,善世服务,101~300人,广东省,咨询/法律/人力资源,2023-03-27,2023
剪辑实习生,135.0,3个月,"['使用', 'Adobe', '\xa0', 'Premiere', 'Final', '\xa0', 'Cut', '\xa0', 'Pro', '进行', '后期', '编辑']",本科,1,2023-03-28 19:43:00,虎嗅网,101~300人,北京市,广告|传媒|文化|体育,2023-03-28,2023
销售助理,183.33,长期,"['电话', '微信', '沟通', '方式', '客户', '建立联系', '提供', '专业', '选择', '建议']",本科,20,2023-03-23 14:48:00,学旅家,101~300人,上海市,互联网|游戏|软件,2023-03-23,2023
医学内容运营实习生,175.0,3个月,"['职位', '介绍']",硕士,1,2023-03-22 13:51:00,阿斯利康,3001人及以上,上海市,生物|医药,2023-03-22,2023
市场实习生,133.33,6个月,"['岗位', '内容']",大专,2,2023-03-23 09:16:00,深圳宝创,1001~3000人,广东省,汽车|机械|制造,2023-03-23,2023
财务实习生,133.33,6个月,['岗位职责'],大专,2,2023-03-23 09:13:00,深圳宝创,1001~3000人,广东省,汽车|机械|制造,2023-03-23,2023
合同助理,165.0,2个月,"['工作', '职责']",大专,1,2023-03-22 10:37:00,E+H,301~1000人,上海市,汽车|机械|制造,2023-03-22,2023
薪酬福利实习生,132.0,3个月,"['协助', '各类', '员工福利', '项目', '活动', '材料', '设计', '执行', '包括', '弹性', '福利', '认可', '激励', '储蓄', '计划']",本科,1,2023-03-22 10:16:00,费森尤斯医疗,1001~3000人,上海市,生物|医药,2023-03-22,2023
用户运营实习生,175.0,3个月,"['参与', '以下', '工作']",本科,1,2023-03-31 18:39:00,手回集团,301~1000人,广东省,互联网|游戏|软件,2023-03-31,2023
设计实习生,175.0,3个月,"['职责', '描述']",本科,1,2023-03-31 18:37:00,手回集团,301~1000人,广东省,互联网|游戏|软件,2023-03-31,2023
医学部实习生,125.0,3个月,"['\xa0', '制作', '内容', 'ppt', '\xa0']",本科,1,2023-03-21 17:15:00,益普生,3001人及以上,北京市,生物|医药,2023-03-21,2023
企业文化内容运营,210.0,3个月,"['\xa0', '理解', '业务', '文化', '运用', '媒体', '内容', '传播', '文章', '长图', '视频', '用户', '喜闻乐见', '内容', '形式', '面向', '员工', '传递', '公司', '文化']",本科,1,2023-03-21 16:25:00,美团,1001~3000人,北京市,互联网|游戏|软件,2023-03-21,2023
企业文化数据运营,210.0,3个月,"['\xa0', '支持', '员工', '沟通', '渠道', '员工', '沟通', '项目', '数据', '整理', '分析', '洞察', '用户', '行为', '发现', '问题', '提出', '改进', '建议']",本科,1,2023-03-21 16:25:00,美团,1001~3000人,北京市,互联网|游戏|软件,2023-03-21,2023
短视频运营编导实习生,135.0,3个月,"['制作', '适合', '小红书', '抖音', '社交', '平台', '脚本', '拍摄', '大纲']",本科,1,2023-03-21 14:57:00,爱点击,1001~3000人,上海市,互联网|游戏|软件,2023-03-21,2023
金融实习生,166.67,长期,"['负责', '公司', '财经新闻', '更新', '早盘', '点评', '收盘', '点评', '内容', '推送']",本科,17,2023-03-22 11:19:00,经传多赢,1001~3000人,广东省,金融,2023-03-22,2023
剪辑实习生,150.0,3个月,['岗位职责'],本科,1,2023-03-21 14:09:00,百姓网,301~1000人,上海市,互联网|游戏|软件,2023-03-21,2023
线上实习生,150.0,3个月,"['利用', '招聘', '渠道', '发布', '招聘广告', '寻求', '符合', '公司', '标准', '业务', '发展', '人才']",本科,40,2023-03-28 10:17:00,科锐国际,3001人及以上,上海市,咨询/法律/人力资源,2023-03-28,2023
线上实习生,150.0,3个月,"['负责', '提供', '活动', '策划', '规划', '组织', '学生', '开展', '各类', '活动', '比赛', '宣传', '扩大', '目标', '高校', '雇主', '品牌', '影响力']",本科,40,2023-03-28 10:11:00,科锐国际,3001人及以上,上海市,咨询/法律/人力资源,2023-03-28,2023
法务实习生,110.0,6个月,"['负责', '部门', '文书', '行政', '工作', '合同', '校对', '打印', '盖章', '案例', '编写']",本科,1,2023-03-22 09:06:00,Fesco广东,301~1000人,广东省,咨询/法律/人力资源,2023-03-22,2023
视频剪辑实习生,200.0,4个月,"['工作', '职责']",本科,1,2023-03-21 10:37:00,百姓网,301~1000人,上海市,互联网|游戏|软件,2023-03-21,2023
市场部实习生,135.0,2个月,"['职位', '描述']",本科,2,2023-03-27 10:28:00,虎嗅网,101~300人,北京市,广告|传媒|文化|体育,2023-03-27,2023
市场实习生,175.0,3个月,"['职责', '描述']",大专,1,2023-03-30 14:41:00,手回集团,301~1000人,广东省,互联网|游戏|软件,2023-03-30,2023
用户运营实习生,175.0,3个月,"['职责', '描述']",本科,1,2023-03-30 14:36:00,手回集团,301~1000人,广东省,互联网|游戏|软件,2023-03-30,2023
招聘助理实习生,150.0,3个月,"['\xa0', '协助', '专业', '顾问', '分析', '客户', '职位', '需求', '明确', '目标', '公司', '用人', '需求', '候选人', '职业', '发展', '诉求']",本科,3,2023-03-31 11:10:00,科锐国际,1001~3000人,四川省,互联网|游戏|软件,2023-03-31,2023
商务运营实习生,175.0,3个月,"['职责', '描述']",本科,1,2023-03-30 14:34:00,手回集团,301~1000人,广东省,互联网|游戏|软件,2023-03-30,2023
平面设计实习生 Design Intern,125.0,3个月,"['\xa0', 'Assist', '\xa0', 'in', '\xa0', 'the', '\xa0', 'basic', '\xa0', 'design', '\xa0', 'work', '\xa0', 'of', '\xa0', 'the', '\xa0', 'company', 's', '\xa0', 'social', '\xa0', 'medias', '\xa0', 'such', '\xa0', 'as', '\xa0', 'photo', '\xa0', 'processing', '\xa0', 'copywriting', '\xa0', 'composing', '\xa0', 'and', '\xa0', 'poster', '\xa0', 'design']",本科,1,2023-04-06 08:51:00,德利康,11~50人,广东省,生物|医药,2023-04-06,2023
德语翻译实习生,125.0,3个月,"['\xa0', 'Assist', '\xa0', 'the', '\xa0', 'team', '\xa0', 'to', '\xa0', 'do', '\xa0', 'the', '\xa0', 'company', '\xa0', 'documents', '\xa0', 'translation']",本科,1,2023-04-06 08:51:00,德利康,11~50人,广东省,生物|医药,2023-04-06,2023
新媒体运营实习生,125.0,3个月,"['\xa0', 'Assist', '\xa0', 'in', '\xa0', 'the', '\xa0', 'basic', '\xa0', 'design', '\xa0', 'work', '\xa0', 'of', '\xa0', 'the', '\xa0', 'company', 's', '\xa0', 'social', '\xa0', 'medias', '\xa0', 'such', '\xa0', 'as', '\xa0', 'photo', '\xa0', 'processing', '\xa0', 'copywriting', '\xa0', 'and', '\xa0', 'poster', '\xa0', 'design']",本科,1,2023-04-06 08:51:00,德利康,11~50人,广东省,生物|医药,2023-04-06,2023
总经办实习生,125.0,2个月,"['工作', '内容']",本科,1,2023-04-10 14:59:00,B.Duck 小黄鸭,301~1000人,广东省,快速消费品,2023-04-10,2023
法务实习生,125.0,3个月,['岗位职责'],本科,2,2023-04-10 15:07:00,B.Duck 小黄鸭,301~1000人,广东省,快速消费品,2023-04-10,2023
海外公寓咨询顾问,175.0,2个月,"['岗位', '要求']",本科,20,2023-03-21 13:24:00,学旅家,101~300人,上海市,互联网|游戏|软件,2023-03-21,2023
内容运营实习生,116.67,3个月,"['职位', '描述']",本科,2,2023-03-20 15:29:00,丁香园,1001~3000人,浙江省,互联网|游戏|软件,2023-03-20,2023
选品实习生,140.0,3个月,"['\xa0', '负责', '开发', '潜力', '成为', '爆款', '品类', '产品', '进行', '资源', '拓展', '维护']",本科,2,2023-03-27 11:20:00,企鹅吃喝指南,51~100人,上海市,互联网|游戏|软件,2023-03-27,2023
百科优质内容运营实习生-化学方向,147.5,3个月,"['用户', '生产', '高校', '百科', '条目', '进行', '打分', '给出', '修改意见', '内容', '质量', '进行', '把关']",本科,1,2023-03-20 14:31:00,字节跳动,3001人及以上,上海市,互联网|游戏|软件,2023-03-20,2023
销售商务专员,155.0,2个月,[],本科,1,2023-03-21 09:26:00,盖瑞特,1001~3000人,上海市,汽车|机械|制造,2023-03-21,2023
财务实习生,110.0,3个月,"['增值税', '专用发票', '增值税', '普通发票', '广东省', '地方', '税收', '通用', '发票', '开具']",本科,2,2023-03-20 09:21:00,东软,3001人及以上,广东省,互联网|游戏|软件,2023-03-20,2023
门店实习生,140.0,3个月,"['实习', '岗位', '介绍', '原则上', '实习生', '储备', '干部', '门店', '实习', '实习', '结束', '特长', '意愿', '实习', '评价', '分配', '门店', '采购部', '商品', '企划部', '仓储', '部门', '部门', '业务', '需求', '实习生', '无需', '门店', '实习', '职能', '岗位', '实习']",大专,10,2023-03-30 11:51:00,逸之源,101~300人,浙江省,快速消费品,2023-03-30,2023
财务助理,115.0,3个月,"['协助', '领导', '收集', '整理', '相关', '资料']",大专,4,2023-04-10 14:36:00,成功快车,51~100人,广东省,互联网|游戏|软件,2023-04-10,2023
软件测试实习生,155.0,3个月,"['承担', '多媒体', '软件', '产品质量', '测试', '管理', '相关', '工作']",本科,1,2023-04-10 13:13:00,尼禄软件,11~50人,浙江省,互联网|游戏|软件,2023-04-10,2023
人力资源实习生,110.0,3个月,"['方法', '人才库', '网站', '社交', '平台', '完成', '目标', '候选人', '搜寻', '工作']",本科,1,2023-04-10 17:42:00,募格网络,50~150人,陕西省,互联网|游戏|软件,2023-04-10,2023
UI实习生,155.0,4个月,"['\xa0', '参与', '公司', '产品', '移动', 'PC', '用户界面', '交互', '设计', 'UI', '设计', '\xa0']",本科,3,2023-04-06 10:21:00,尼禄软件,11~50人,浙江省,互联网|游戏|软件,2023-04-06,2023
AI绘画平面实习生,155.0,长期,"['\xa0', '一定', '线上', '宣传', '物料', '设计', '排版', '经验', '移动', '端的', '设计', '经验', '优先']",本科,1,2023-04-10 13:13:00,尼禄软件,11~50人,浙江省,互联网|游戏|软件,2023-04-10,2023
文员助理实习生,125.0,2个月,"['工作', '职责']",大专,3,2023-04-10 09:11:00,募格网络,50~150人,陕西省,互联网|游戏|软件,2023-04-10,2023
法律合规部实习生,225.0,3个月,"['协助', '支持', '投资', '业务', '对拟', '投', '项目', '进行', '法律', '合规', '初步', '调研', '详细', '尽调', '整理', '工作', '底稿', '撰写', '法律', '尽调', '报告', '进行', '法律', '合规性', '评估', '揭示', '风险', '提出', '响应', '解决方案']",硕士,1,2023-03-30 09:36:00,国投招商,101~300人,江苏省,金融,2023-03-30,2023
法务实习生,135.0,3个月,['岗位职责'],本科,1,2023-03-28 15:55:00,编程猫,3001人及以上,广东省,互联网|游戏|软件,2023-03-28,2023
Marketing and Communication,125.0,4个月,"['\xa0', '社交', '媒体', '主要', '负责', '小红书', '视频', '号', 'B', '站', '协助', '微信', '公众', '号', 'SKEMA', '\xa0', 'Suzhou', '\xa0', '微信', '朋友圈', '微博', '运营']",本科,2,2023-03-27 09:37:00,SK商学院,11~50人,江苏省,教育培训,2023-03-27,2023
市场招生助理,125.0,3个月,"['维护', '客户', '收集', '更新', '来自', '渠道', '潜在', '客户', '信息']",本科,1,2023-03-27 09:37:00,SK商学院,11~50人,江苏省,教育培训,2023-03-27,2023
财务实习生,140.0,6个月,"['\xa0', '协助', '主管', '完成', '基础', '财务', '审批', '流程']",大专,1,2023-03-29 17:51:00,淘米网络,301~1000人,上海市,互联网|游戏|软件,2023-03-29,2023
运营实习生,150.0,3个月,"['协助', '私募', '基金', '设立', '过程', '募集', '成立', '备案', '工作']",本科,2,2023-03-29 17:33:00,展弘投资,11~50人,上海市,金融,2023-03-29,2023
Analyst Intern,110.0,3个月,"['\xa0', 'Copy', '\xa0', 'editing', '\xa0', 'on', '\xa0', 'both', '\xa0', 'Chinese', '\xa0', 'and', '\xa0', 'English']",本科,1,2023-04-07 10:36:00,RTG,51~100人,上海市,广告|传媒|文化|体育,2023-04-07,2023
人力资源咨询项目助理,110.0,3个月,"['线上', '参与', '配合', '人力资源', '项目', '调研', '分析', '方案', '配套', '材料', '梳理', '设计', '\xa0']",本科,10,2023-04-04 10:48:00,驱动咨询,51~100人,上海市,咨询/法律/人力资源,2023-04-04,2023
咨询师,150.0,3个月,"['交通运输', '部', '提供', '技术', '支撑']",硕士,1,2023-04-10 14:09:00,中路交科,11~50人,北京市,咨询/法律/人力资源,2023-04-10,2023
投标助手,150.0,3个月,['岗位职责'],本科,1,2023-04-07 13:37:00,普仕英才,51~100人,北京市,咨询/法律/人力资源,2023-04-07,2023
猎头顾问助理实习生,115.0,3个月,"['协助', '资深', '猎头', '顾问', '整理', '收集', '目标', '行业', '信息', '分析', '客户', '需求']",本科,5,2023-04-06 09:34:00,赛睿人力资源,301~1000人,广东省,咨询/法律/人力资源,2023-04-06,2023
VIP特邀买家实习生,170.0,4个月,[],大专,10,2023-04-07 09:05:00,cioe中国光博会,51~100人,广东省,政府/非盈利机构/其他,2023-04-07,2023
客户经理助理,150.0,3个月,"['商务', '线索', '挖掘', '搜寻', '各地', '创业', '大赛', '人才', '政策', '相关', '信息', '协助', '数据', '统计']",本科,100,2023-04-07 11:40:00,景行科创,11~50人,浙江省,咨询/法律/人力资源,2023-04-07,2023
校内大使实习,100.0,长期,"['\xa0', '在校', '工作', '负责', '海亮', '国际', '语培', '校园', '品牌', '产品', '宣传', '工作', '品牌', '推广', '课程', '宣传', '筹备', '社群']",本科,30,2023-04-10 13:28:00,海亮国际教育,101~300人,浙江省,教育培训,2023-04-10,2023
行政助理,125.0,长期,"['\xa0', '协助', '处理', '公司', '办公室', '事务', '包括', '办公', '费用', '报销', '发票', '开具', '活动', '组织']",大专,1,2023-04-10 10:53:00,迈睿咨询,11~50人,广东省,咨询/法律/人力资源,2023-04-10,2023
助理猎头顾问,125.0,长期,"['客户', '职位', '需求', '评估', '分析', '分析', '招聘', '需求', '详细信息', '实施', '有效', '招聘', '行动']",本科,2,2023-04-10 10:53:00,迈睿咨询,11~50人,广东省,咨询/法律/人力资源,2023-04-10,2023
客户运营,150.0,长期,"['负责', '联系', '维护', '创业项目']",不限,5,2023-04-10 17:52:00,景行创服,10人以内,浙江省,政府/非盈利机构/其他,2023-04-10,2023
